signal;N_sens;arch;n_tests;sim_time_s_mean;sim_time_s_std;spikes_per_s_mean;spikes_per_s_std;mean_amp_corr_mean;mean_amp_corr_std;mean_freq_corr_mean;mean_freq_corr_std;mean_plv_mean;mean_plv_std;mean_phase_deg_mean;mean_phase_deg_std;rmse_ref_o1_mean;rmse_ref_o1_std;rmse_o1_g_mean;rmse_o1_g_std
lorenz;10;PC-EC;10;1,0539362595000057;0,013960584773582876;2099,4700000000003;276,6130963085132;0,6806560140331527;0,4392020346636704;0,31632385530935375;0,4165785968573214;0,7459606871111519;0,24941050038800774;25,53108333069975;49,582854300548064;0,39543055651104103;0,0621258296871003;0,003363914475501272;0,002674899783848512
lorenz;10;PC-SC;10;1,4837948408998272;0,015607313181314768;3497,626666666666;343,43138146910485;0,6855323437254975;0,43296754283527705;0,3194712835617753;0,4114618804230407;0,7785973181048738;0,22627243852769716;23,85343031757214;45,18283160141888;0,39543055651104103;0,0621258296871003;0,003707681205835582;0,0034306334422394146
lorenz;60;PC-EC;10;1,1060588825996092;0,007679868313575953;4043,653333333333;606,875095900871;0,9530977489217232;0,08261495749408411;0,8085547928256597;0,2580091987807698;0,8773047039575074;0,2458383577656;5,942783285116824;6,994547159281857;0,4044462166654238;0,019538266225093057;0,00923132039656012;0,006540502462040626
lorenz;60;PC-SC;10;1,5208781585999531;0,011449233770204632;5847,546666666667;495,6905033497324;0,9537475975327686;0,08573117977045101;0,7823141041815691;0,2586454501108034;0,8735351864723286;0,2518328418875761;6,452364947532905;7,921493544972128;0,4044462166654238;0,019538266225093057;0,009762282164019429;0,007697739163614375
lorenz;110;PC-EC;10;1,1276311160003387;0,011597427549771496;6174,493333333334;340,215271646833;0,9704935904888858;0,0313765343874036;0,8511720000872561;0,2704655547412719;0,9560644699614722;0,11052762525069637;4,775010626387472;3,3597775530848955;0,4021247790537318;0,005421151350276477;0,008571027388617234;0,007530742933995436
lorenz;110;PC-SC;10;1,543598068799838;0,011525232274660138;7677,289999999999;361,3247993559669;0,9704318662586235;0,027598164860803787;0,795135893193472;0,2946422049762482;0,9569171330734383;0,10930548725587373;5,210254821574846;3,721928589995893;0,4021247790537318;0,005421151350276477;0,009160187064269475;0,007299745079549446
lorenz;160;PC-EC;10;1,168539991200123;0,014132021893912574;7673,289999999999;562,1364032108353;0,9790776289544547;0,04013690159422312;0,78111088781751;0,28338860292352774;0,9647545269429857;0,06635715661865381;4,221398332539893;2,6470891118990054;0,4041650788143481;0,004372793071275379;0,009385451926545916;0,007575440031778153
lorenz;160;PC-SC;10;1,5749804271001266;0,011175361963982383;9250,61;678,616900607496;0,9789165085444649;0,03727062552121305;0,7775619742476423;0,2640144516545403;0,9601791745404276;0,0777408795999134;5,003857321920142;3,3074847498580673;0,4041650788143481;0,004372793071275379;0,01105929024644229;0,010367094251204547
lorenz;210;PC-EC;10;1,1876447970002117;0,012239220822399713;9916,393333333333;673,7515845832164;0,9871293158734344;0,00984149582727288;0,8602907390546131;0,21356844736971983;0,9934383282459848;0,019014714424212497;3,3372700379655056;1,2752278737199159;0,4035462488061632;0,013782255511028704;0,008471428261455409;0,006342883717862174
lorenz;210;PC-SC;10;1,603656533799949;0,01103977112010589;11821,67;786,5500355239429;0,9884849717072127;0,008611194104818993;0,8824410974783822;0,20030873053157255;0,9930180829821744;0,02019066075134794;3,0209503022926936;0,6561622220099831;0,4035462488061632;0,013782255511028704;0,0086082104414937;0,00764730597314749
lorenz;260;PC-EC;10;1,209421636600382;0,005851225262086033;12201,236666666668;732,7821265897405;0,9917906630745941;0,0073883857481516135;0,958994222820056;0,05029126977099018;0,9991340290454064;0,0006541728982652112;2,776056370750095;1,606698960708929;0,38609549272076704;0,02969574263676855;0,013139459550920985;0,0070320351324310165
