signal;N_sens;arch;test_id;sim_time_s;spikes_per_s;mean_amp_corr;mean_freq_corr;mean_plv;mean_phase_deg;rmse_ref_o1;rmse_o1_g
oscillator;310;PC-SC;4;1,6472413009996671;19589,9;0,9975887925596929;0,9986983477476069;0,9999653709363316;2,668112146223675;0,47741135992237127;0,03657916816921911
oscillator;310;PC-EC;5;1,2609079160010879;18315,2;0,9977311641863145;0,9990547511921408;0,9999794968179812;2,2100507929028277;0,371587744090248;0,03225659171739877
oscillator;310;PC-SC;5;1,6786899519993312;20250,066666666666;0,9985521007871242;0,9994593412417236;0,9999877022171768;1,690213890362588;0,371587744090248;0,024819388168721725
oscillator;310;PC-EC;6;1,2509884790015349;17218,266666666666;0,9966368911618937;0,9979284886569484;0,9999535226372569;2,693398736470091;0,21527025722334525;0,037061354767336886
oscillator;310;PC-SC;6;1,6601737979999598;18745,466666666667;0,9963565948170064;0,997707997064113;0,9999489188142721;2,809730497052066;0,21527025722334525;0,03861726806160978
oscillator;310;PC-EC;7;1,259856316000878;18984,3;0,9967700159616408;0,9989926331758632;0,9999860752961366;1,962144747277236;0,701074307996677;0,028829426732522107
oscillator;310;PC-SC;7;1,673516415999984;20658,166666666668;0,9971356103223437;0,9991277737201428;0,9999868786180668;1,9054480354163894;0,701074307996677;0,028098398909697394
oscillator;310;PC-EC;8;1,2403992309991736;18459,633333333335;0,9988964491466574;0,9994468393030957;0,9999814430767529;1,8993639040428443;0,6196116369044533;0,027093291123340087
oscillator;310;PC-SC;8;1,6642918329998793;20143,333333333332;0,9990033817610263;0,9995660738605731;0,999985347287246;1,6987912675850119;0,6196116369044533;0,02436309050269636
oscillator;310;PC-EC;9;1,2312686009991012;17656,8;0,9962767091459689;0,9971600604750577;0,9999200849480399;3,7863192487847215;0,5274190327750444;0,05339317608808061
oscillator;310;PC-SC;9;1,6753243769999244;19557,666666666668;0,9987151766158415;0,9992149788235944;0,9999781485963082;2,1283580109956013;0,5274190327750444;0,03032252306262807
oscillator;310;PC-EC;10;1,2612315930000477;18280,9;0,99756153086594;0,9989709163056189;0,9999761546264437;2,3424536342000186;0,36945576001053876;0,03354754853338747
oscillator;310;PC-SC;10;1,6563777859992115;19334,833333333332;0,9973392087157944;0,9988585977280364;0,9999725776444874;2,515702398341915;0,36945576001053876;0,036010490947271004
oscillator;360;PC-EC;1;1,2674423850003222;20923,0;0,9959893437026699;0,9979915582339292;0,9999517257891852;3,417016310041422;0,46118333310822374;0,04876295604839661
oscillator;360;PC-SC;1;1,6671135719989252;22739,233333333334;0,9960186976315688;0,9983373054602995;0,9999629152734495;2,9666389551581815;0,46118333310822374;0,04259066870845761
oscillator;360;PC-EC;2;1,2834584269985498;23595,933333333334;0,9972826517158278;0,9817193743496737;0,999994104987533;1,9058832169401403;1,2490339427113166;0,03322823749164667
oscillator;360;PC-SC;2;1,7026697620003688;25330,566666666666;0,9967518770437772;0,9758124478698456;0,9999930000260746;2,083953596509944;1,2490339427113166;0,0362683428039579
oscillator;360;PC-EC;3;1,2756352189990139;19907,766666666666;0,9955636323522941;0,981216917203116;0,9997854576111112;2,593729498232928;0,02522629095870254;0,035223580589613994
oscillator;360;PC-SC;3;1,6460415549991012;21320,966666666667;0,9976017102886394;0,9837707048085378;0,9998043355897065;2,407921345407629;0,02522629095870254;0,03263828033459015
oscillator;360;PC-EC;4;1,2564899970002443;21170,1;0,9986394050016099;0,9993898516582991;0,9999811469005755;2,0971852990357016;0,6384089966047151;0,03042476804702833
oscillator;360;PC-SC;4;1,6805795270011004;22150,0;0,9978293580646662;0,9988372205623276;0,9999633666714858;2,880055768147044;0,6384089966047151;0,04155003826711803
