signal,param,value,arch,rmse_o1_g_mean,rmse_o1_g_std,rmse_ref_g_mean,rmse_ref_g_std,rmse_ref_o1_mean,rmse_ref_o1_std,mean_amp_corr_mean,mean_amp_corr_std,mean_freq_corr_mean,mean_freq_corr_std,mean_plv_mean,mean_plv_std,mean_phase_deg_mean,mean_phase_deg_std,conv_threshold_time_s_mean,conv_threshold_time_s_std,conv_settle_time_s_mean,conv_settle_time_s_std,conv_reached_threshold_mean,conv_reached_threshold_std,steady_err_o1_g_mean,steady_err_o1_g_std,sim_time_s_mean,sim_time_s_std,sim_python_peak_mem_mb_mean,sim_python_peak_mem_mb_std,sim_rss_peak_delta_mb_mean,sim_rss_peak_delta_mb_std
lorenz,ridge_lambda_rec,0.01,PC-EC,0.01307439264040233,0.011656651501820976,0.34548762957208706,0.06069474939619662,0.3445725312199106,0.06105799634047225,0.9025236742144305,0.16421462117765442,0.8398357760211289,0.14880137456942324,0.9986199704817467,0.0018732058319130302,3.0196350256024687,1.8370968396024643,7.772666666666666,12.539471134514937,20.361666666666668,16.69408303361803,1.0,0.0,0.029964022711304963,0.031116158887361807,4.224979813666626,0.034319740227154116,26.522518793741863,0.9603720400681457,5.098958333333333,0.5251884969768195
lorenz,ridge_lambda_rec,0.01,PC-SC,0.011062476714569204,0.009393308927098326,0.3456598205533652,0.061472478748313124,0.3445725312199106,0.06105799634047225,0.8994040197590625,0.17128642630305255,0.8239106655476673,0.19282045419771404,0.9991454955645294,0.0007740390709423278,2.1451777667081116,0.8707332042544,0.536,0.010440306508910546,20.358,16.700433886579113,1.0,0.0,0.023145639401143503,0.018560256767250784,5.828763408333543,0.07607644187516158,34.12080987294515,0.9127546675364594,9.524739583333334,0.8733708792422229
lorenz,ridge_lambda_rec,0.1,PC-EC,0.0074097498060043815,0.0032651185060680685,0.36910004152557235,0.011989312382137053,0.3687809056206499,0.012461263506387186,0.9419261054830304,0.05109257198829297,0.9676661107315153,0.030953789188716635,0.9996414560207114,4.6437644315056396e-05,5.10825247578778,4.179898539268551,0.6416666666666667,0.18825868727188477,10.474333333333334,16.317378905122393,1.0,0.0,0.01376561475565013,0.006204052789229035,4.31990800700017,0.10667257612734134,26.796156883239746,0.8671184891223279,4.94921875,0.4286742314155208
lorenz,ridge_lambda_rec,0.1,PC-SC,0.008358948353947281,0.008965829744032192,0.36930864157566073,0.011611214624971231,0.3687809056206499,0.012461263506387186,0.9514499682267362,0.0500814588044818,0.9733672985310114,0.012255478487686985,0.9991989246188461,0.0009919439308385546,2.888306205860154,0.48137499803803563,0.5346666666666667,0.008144527815247082,10.469666666666667,16.331811238602207,1.0,0.0,0.016480857499904064,0.01889755512828163,5.8103423469995805,0.06262966308530066,34.20438289642334,1.0853137762577874,9.321614583333334,0.38631081177501464
lorenz,z_clip,0.0,PC-EC,0.01307439264040233,0.011656651501820976,0.34548762957208706,0.06069474939619662,0.3445725312199106,0.06105799634047225,0.9025236742144305,0.16421462117765442,0.8398357760211289,0.14880137456942324,0.9986199704817467,0.0018732058319130302,3.0196350256024687,1.8370968396024643,7.772666666666666,12.539471134514937,20.361666666666668,16.69408303361803,1.0,0.0,0.029964022711304963,0.031116158887361807,4.025676506000309,0.07796030325379374,26.52115281422933,0.9610815549785368,0.15234375,0.26386711521557116
lorenz,z_clip,0.0,PC-SC,0.011062476714569204,0.009393308927098326,0.3456598205533652,0.061472478748313124,0.3445725312199106,0.06105799634047225,0.8994040197590625,0.17128642630305255,0.8239106655476673,0.19282045419771404,0.9991454955645294,0.0007740390709423278,2.1451777667081116,0.8707332042544,0.536,0.010440306508910546,20.358,16.700433886579113,1.0,0.0,0.023145639401143503,0.018560256767250784,5.587827786999696,0.07680256588367468,34.12065410614014,0.9127936021284234,5.184895833333333,0.9333758026633195
lorenz,z_clip,1.0,PC-EC,0.01307439264040233,0.011656651501820976,0.34548762957208706,0.06069474939619662,0.3445725312199106,0.06105799634047225,0.9025236742144305,0.16421462117765442,0.8398357760211289,0.14880137456942324,0.9986199704817467,0.0018732058319130302,3.0196350256024687,1.8370968396024643,7.772666666666666,12.539471134514937,20.361666666666668,16.69408303361803,1.0,0.0,0.029964022711304963,0.031116158887361807,4.224979813666626,0.034319740227154116,26.522518793741863,0.9603720400681457,5.098958333333333,0.5251884969768195
lorenz,z_clip,1.0,PC-SC,0.011062476714569204,0.009393308927098326,0.3456598205533652,0.061472478748313124,0.3445725312199106,0.06105799634047225,0.8994040197590625,0.17128642630305255,0.8239106655476673,0.19282045419771404,0.9991454955645294,0.0007740390709423278,2.1451777667081116,0.8707332042544,0.536,0.010440306508910546,20.358,16.700433886579113,1.0,0.0,0.023145639401143503,0.018560256767250784,5.828763408333543,0.07607644187516158,34.12080987294515,0.9127546675364594,9.524739583333334,0.8733708792422229
lorenz,z_clip,1.5,PC-EC,0.01307439264040233,0.011656651501820976,0.34548762957208706,0.06069474939619662,0.3445725312199106,0.06105799634047225,0.9025236742144305,0.16421462117765442,0.8398357760211289,0.14880137456942324,0.9986199704817467,0.0018732058319130302,3.0196350256024687,1.8370968396024643,7.772666666666666,12.539471134514937,20.361666666666668,16.69408303361803,1.0,0.0,0.029964022711304963,0.031116158887361807,4.199786663333725,0.042639805743421355,26.533100446065266,0.9762790577700927,0.09635416666666667,0.1668903121876262
lorenz,z_clip,1.5,PC-SC,0.011062476714569204,0.009393308927098326,0.3456598205533652,0.061472478748313124,0.3445725312199106,0.06105799634047225,0.8994040197590625,0.17128642630305255,0.8239106655476673,0.19282045419771404,0.9991454955645294,0.0007740390709423278,2.1451777667081116,0.8707332042544,0.536,0.010440306508910546,20.358,16.700433886579113,1.0,0.0,0.023145639401143503,0.018560256767250784,5.83419462499963,0.04791762046526242,34.120762507120766,0.9128402368016643,3.8854166666666665,0.23100881285046965
