signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
lorenz,ridge_lambda_e,0.1,PC-EC,1,540,0.9994684875507832,0.8686566128885876,0.9996199197543016,1.1076821546604858,0.009230928316643865,0.384253708242322,0.38554398195284045,0.529,30.0,True,0.018053768380940124,4.348652422999294,27.465978622436523,2.515625,1.0808055729994521
lorenz,ridge_lambda_e,0.1,PC-SC,1,540,0.99728780357992,0.8614618533077018,0.9982574259916864,2.5486577467576343,0.02110538055424999,0.384253708242322,0.38674266654111716,0.548,30.0,True,0.041294867040738995,5.762530710000647,33.18443489074707,5.734375,1.0808055729994521
lorenz,ridge_lambda_e,0.1,PC-EC,2,540,0.7129211177415247,0.678732247335267,0.9997810124552448,4.771382761479484,0.003824806136658326,0.3752010625712522,0.37526376122479566,0.537,1.085,True,0.006562298457388221,4.240868519000287,26.58611011505127,0.765625,1.0149294620005094
lorenz,ridge_lambda_e,0.1,PC-SC,2,540,0.6980453578248126,0.6125866971407233,0.9997570973611262,2.7461655791613944,0.0024622844296617727,0.3752010625712522,0.37524702837426255,0.529,1.069,True,0.004206876439647294,5.754117754000617,34.8143835067749,5.6015625,1.0149294620005094
lorenz,cue_end,0.1,PC-EC,0,540,0.992854998848412,0.9231884142233174,0.9966729172145308,3.402116043754923,0.03420714137984317,0.4733689348160215,0.47363929995772563,8.841,30.0,True,0.06630115425495084,4.295741130001261,25.44535255432129,0.609375,1.0680147309994936
lorenz,cue_end,0.1,PC-SC,0,540,0.9990024919229815,0.9331172094214787,0.9994612799654533,1.2395262739410116,0.012576472926793593,0.4733689348160215,0.47390932208900627,0.529,30.0,True,0.024358993010313797,5.858327018999262,34.407915115356445,5.75,1.0680147309994936
lorenz,cue_end,0.1,PC-EC,1,540,0.9994134647668957,0.997291313302704,0.9996501671461745,1.0329822346816238,0.009890620857895506,0.42037485659440477,0.4216280587218927,0.528,27.635,True,0.017200924179936954,4.344903342998805,27.46946144104004,1.33984375,1.0808055729994521
lorenz,cue_end,0.1,PC-SC,1,540,0.9969604781569119,0.9891140836449733,0.9985032397488904,2.3643598593886064,0.02261372847684909,0.42037485659440477,0.42275580390118617,0.534,27.642,True,0.03952611629935625,5.765555588999632,33.08486747741699,5.01953125,1.0808055729994521
lorenz,cue_end,0.1,PC-EC,2,540,0.9979980949761589,0.9895955959943014,0.9986852178389243,1.997991746942284,0.01796699140193204,0.44226112107440374,0.4424700413151282,0.532,28.982,True,0.03280359243970341,4.219417154999974,26.627878189086914,0.69140625,1.0149294620005094
lorenz,cue_end,0.1,PC-SC,2,540,0.9993063712932151,0.995793154355399,0.9995141304856329,1.150919092216025,0.010425502880439749,0.44226112107440374,0.4425566920011379,0.528,28.977,True,0.01900145507008539,5.966346319999502,35.000322341918945,5.625,1.0149294620005094
lorenz,cue_end,5.0,PC-EC,0,540,0.9934582544268976,0.9686804741957636,0.9964856985587057,3.7381503063157893,0.031703037084062864,0.37605311310206924,0.3783544060446559,0.863,29.935000000000002,True,0.057249622786933296,4.370721532999596,25.002756118774414,0.62890625,1.0680147309994936
lorenz,cue_end,5.0,PC-SC,0,540,0.9990625943645671,0.995165388951273,0.9994501273773793,1.3558153006274762,0.011662169905774688,0.37605311310206924,0.37722193521391423,0.531,29.92,True,0.021055567179644904,6.054574113999479,34.05875492095947,5.83203125,1.0680147309994936
lorenz,cue_end,5.0,PC-EC,1,540,0.9994482555105111,0.9982823140927265,0.999747446681715,1.0131286517871072,0.009415242636009319,0.44025505240639007,0.4415696885149772,0.529,28.223,True,0.015851999734280333,4.571827490999567,27.116019248962402,1.515625,1.0808055729994521
lorenz,cue_end,5.0,PC-SC,1,540,0.9971667183368961,0.9910517145141654,0.9987237407297602,2.3269837859188707,0.021509901901152935,0.44025505240639007,0.44277704454085964,0.548,28.231,True,0.03613112896102002,6.061447338999642,32.51751136779785,5.07421875,1.0808055729994521
lorenz,cue_end,5.0,PC-EC,2,540,0.9980443124505597,0.9337413576376911,0.9979990019846445,2.556442456809318,0.018047923993600237,0.4187469268604332,0.42009995147052315,0.537,30.0,True,0.036956001405148695,4.485638551001102,26.17984962463379,0.8515625,1.0149294620005094
lorenz,cue_end,5.0,PC-SC,2,540,0.9993179272795146,0.9395276031903146,0.9991536127045829,1.4766599381538918,0.010475087219366106,0.4187469268604332,0.4197167629022756,0.529,30.0,True,0.02140816694260876,6.310833757999717,34.23845958709717,5.54296875,1.0149294620005094
