signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
oscillator,eta,1e-05,PC-EC,5,20,-0.055805171360224004,-0.00116172565501136,0.9858215805033421,78.47076950609392,0.7818209361333627,0.5985566610655327,0.7673257210966702,,0.005,False,1.0995335117732332,4.856790760000877,16.908455848693848,2.15234375,0.9423834869994607
oscillator,eta,1e-05,PC-SC,5,20,-0.036401916625750805,-0.035266552934185305,0.9847627781934764,73.01293552716339,0.7686258379300789,0.5985566610655327,0.7692889373598477,,0.007,False,1.0741437774692917,6.664162277000287,25.978025436401367,6.6484375,0.9423834869994607
oscillator,eta,1e-05,PC-EC,6,20,0.14169208052200147,-0.1077186902492367,0.994226608639807,72.44622966760454,0.6750914979248868,0.5577409504877844,0.8008183104260667,,0.02,False,0.94058025956719,4.609015385998646,18.624906539916992,2.10546875,0.9221352960012155
oscillator,eta,1e-05,PC-SC,6,20,0.05659751914270691,-0.058491226715235226,0.993078747466765,78.64305724614412,0.6942949664822978,0.5577409504877844,0.7616903800877506,,0.016,False,0.9730840618014791,7.139997772999777,25.180814743041992,7.765625,0.9221352960012155
oscillator,eta,1e-05,PC-EC,7,20,0.9389483539085216,0.6313887233210611,0.9985089220406983,74.4569119028049,0.5733770980900172,0.8211657585866632,0.7826449438133763,,10.714,False,0.7558894772080939,4.901469221000298,17.76141929626465,1.7109375,0.9935889369990036
oscillator,eta,1e-05,PC-SC,7,20,0.7400727550065089,0.5541580396839441,0.9975268891560212,82.46871888502551,0.5896776853714856,0.8211657585866632,0.734189607314533,,9.802,False,0.7837213316502396,6.333392909000395,22.530585289001465,4.92578125,0.9935889369990036
oscillator,eta,1e-05,PC-EC,8,20,0.08500715500407427,0.026435068127023398,0.9935861602904119,71.06210452767692,0.6620515867989792,0.6981160842875862,0.8082032483716282,,0.023,False,0.9174652060880227,4.567560040999524,18.342256546020508,2.078125,0.962633671999356
oscillator,eta,1e-05,PC-SC,8,20,0.03231442475739644,-0.24513976933366605,0.9942640966597635,74.04776487564348,0.6711549164629553,0.6981160842875862,0.8038399263700055,,0.021,False,0.9340077561728726,7.120236295002542,26.470090866088867,6.96875,0.962633671999356
oscillator,eta,1e-05,PC-EC,9,20,-0.16502625127158307,-0.5198602343857913,0.9872746585659768,69.26783528655471,0.6615444230283327,0.1519522871775245,0.6981030952395065,,0.023,False,0.9144150280847563,5.267944056002307,18.321683883666992,2.125,0.9385116140001628
oscillator,eta,1e-05,PC-SC,9,20,-0.12843186852131944,0.03931902574578028,0.9908901095013654,72.95023628293544,0.6692011915806483,0.1519522871775245,0.7086715420011911,,0.021,False,0.9295610443429061,7.071345024000038,27.046476364135742,13.2734375,0.9385116140001628
